Ticker,Greer Score,Above 50%,Book%,FCF%,Margin%,Revenue%,Income%,Shares%
BAM,54.04,3,27.57,90.07,0.0,90.07,90.07,26.47
BAP,79.46,5,100.0,81.63,69.39,81.63,100.0,44.12
BAX,26.04,1,16.54,16.54,16.54,90.07,16.54,0.0
BBD,68.37,6,100.0,69.39,51.02,69.39,51.02,69.39
BBDO,70.71,6,100.0,69.39,51.02,69.39,51.02,83.46
BBVA,78.74,5,100.0,18.37,100.0,54.04,100.0,100.0
BBY,22.61,2,30.61,51.02,0.0,0.0,0.0,54.04
BCE,46.43,3,45.96,55.88,45.96,72.43,58.36,0.0
BCH,52.56,3,100.0,81.63,0.0,69.39,18.37,45.96
BCS,87.01,6,100.0,73.53,73.53,100.0,75.02,100.0
BDX,75.81,6,69.39,81.63,69.39,81.63,69.39,83.46
BE,45.59,3,100.0,73.53,0.0,100.0,0.0,0.0
BEKE,60.59,3,81.63,48.98,30.61,81.63,30.61,90.07
BEN,55.21,3,37.5,55.88,45.96,73.53,45.96,72.43
BG,40.78,1,100.0,30.61,30.61,18.37,37.5,27.57
BHP,39.59,3,81.63,0.0,51.02,30.61,55.88,18.37
BIDU,69.4,4,100.0,48.98,81.63,30.61,81.63,73.53
BIIB,46.34,1,100.0,44.12,37.5,48.99,37.5,9.93
BILI,25.17,2,0.0,51.02,0.0,100.0,0.0,0.0
BIP,31.97,1,30.61,30.61,0.0,100.0,30.61,0.0
BJ,88.24,6,100.0,73.53,55.88,100.0,100.0,100.0
BK,75.56,5,81.63,18.37,81.63,100.0,81.63,90.07
BKNG,68.01,5,0.0,100.0,54.04,100.0,54.04,100.0
BKR,68.75,4,90.07,90.07,44.12,54.04,44.12,90.07
BLD,60.48,4,72.43,26.47,26.47,100.0,54.04,83.46
BLDR,35.36,2,72.43,9.93,9.93,9.93,9.93,100.0
BLK,52.63,2,100.0,27.57,44.12,73.53,44.12,26.47
BMO,74.51,4,100.0,44.12,83.46,90.07,83.46,45.96
BMRN,66.36,5,100.0,90.07,54.04,100.0,54.04,0.0
BMY,36.72,2,0.0,81.63,30.61,51.02,30.61,26.47
BN,28.4,1,48.98,18.37,0.0,48.98,0.0,54.04
BNS,62.62,4,100.0,26.47,9.93,100.0,83.46,55.88
BNT,58.16,3,18.37,81.63,48.98,100.0,100.0,0.0
BNTX,18.14,0,26.47,9.93,9.93,45.96,0.0,16.54
BP,35.91,2,16.54,9.93,16.54,55.88,16.54,100.0
BR,83.33,5,69.39,100.0,100.0,100.0,100.0,30.61
BRO,80.27,5,100.0,100.0,81.63,100.0,100.0,0.0
BROS,65.7,4,48.98,73.53,81.63,100.0,90.07,0.0
BSAC,54.94,4,100.0,30.61,51.02,51.02,51.02,45.96
BSBR,44.18,2,100.0,62.5,37.5,27.57,27.57,9.93
BSX,73.77,5,100.0,90.07,62.5,100.0,90.07,0.0
BSY,72.49,5,100.0,90.07,72.43,100.0,72.43,0.0
BTI,46.14,3,9.93,26.47,73.53,9.93,73.53,83.46
BUD,76.32,6,72.43,90.07,83.46,54.04,84.39,73.53
BURL,71.59,5,100.0,30.61,81.63,81.63,81.63,54.04
BWXT,81.86,5,100.0,90.07,27.57,100.0,90.07,83.46
BX,50.67,4,73.53,55.88,27.57,73.53,73.53,0.0
BXP,49.02,4,9.93,72.43,55.88,100.0,55.88,0.0
BYND,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
C,67.01,5,100.0,0.0,51.02,100.0,51.02,100.0
CACI,86.58,5,100.0,83.46,45.96,100.0,90.07,100.0
CAG,49.11,4,69.39,30.61,51.02,18.37,55.88,69.39
CAH,61.95,4,0.0,37.5,90.07,54.04,90.07,100.0
CAN,14.63,1,18.37,0.0,0.0,51.02,0.0,18.37
CARR,62.38,5,100.0,62.5,55.88,44.12,55.88,55.88
CART,63.6,3,16.54,100.0,37.5,100.0,37.5,90.07
CASY,78.23,5,100.0,51.02,100.0,69.39,100.0,48.98
CAT,64.52,4,90.07,26.47,44.12,72.43,54.04,100.0
CAVA,50.98,2,90.07,27.57,44.12,100.0,44.12,0.0
CB,82.78,6,90.07,54.04,62.5,100.0,90.07,100.0
CBRE,68.26,3,90.07,27.57,45.96,100.0,45.96,100.0
CCEP,68.88,3,100.0,69.39,48.98,100.0,48.98,45.96
CCI,37.36,3,0.0,100.0,55.88,9.93,58.36,0.0
CCJ,63.27,3,100.0,81.63,48.98,100.0,48.98,0.0
CCK,53.06,3,100.0,81.63,18.37,18.37,16.54,83.46
CCL,68.44,5,73.53,90.07,73.53,100.0,73.53,0.0
CDNS,78.55,5,100.0,72.43,26.47,100.0,100.0,72.43
CDW,51.07,2,100.0,48.98,30.61,18.37,18.37,90.07
CEG,64.46,3,90.07,45.96,44.12,72.43,44.12,90.07
CELH,55.51,3,100.0,100.0,16.54,100.0,16.54,0.0
CF,75.18,6,100.0,83.46,55.88,55.88,55.88,100.0
CFG,39.84,2,81.63,18.37,0.0,48.98,0.0,90.07
CG,37.81,1,83.46,16.54,27.57,27.57,27.57,44.12
CGC,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
CHD,67.56,4,100.0,81.63,30.61,100.0,30.61,62.5
CHKP,66.49,5,81.63,51.02,30.61,100.0,81.63,54.04
CHRW,53.01,4,81.63,18.37,69.39,69.39,69.39,9.93
CHT,66.67,4,100.0,54.04,45.96,100.0,100.0,0.0
CHTR,60.85,3,90.07,45.96,37.5,54.04,37.5,100.0
CHWY,73.13,5,48.98,100.0,69.39,100.0,69.39,51.02
CHYM,35.37,2,81.63,30.61,0.0,100.0,0.0,0.0
CI,55.78,2,48.98,48.98,18.37,100.0,18.37,100.0
CIB,55.62,3,69.39,30.61,69.39,48.98,69.39,45.96
CIEN,54.59,3,81.63,81.63,30.61,48.98,30.61,54.04
CIM,37.93,2,0.0,0.0,37.5,90.07,90.07,9.93
CINF,74.99,6,81.63,69.39,81.63,81.63,81.63,54.04
CL,65.81,3,16.54,90.07,44.12,100.0,44.12,100.0
CLH,72.92,4,100.0,90.07,9.93,100.0,37.5,100.0
CLS,89.28,6,100.0,81.63,100.0,100.0,100.0,54.04
CLSK,47.28,4,81.63,0.0,51.02,100.0,51.02,0.0
CLX,64.76,5,30.61,69.39,81.63,69.39,81.63,55.88
CM,74.82,5,100.0,55.88,73.53,100.0,73.53,45.96
CME,75.74,4,45.96,100.0,62.5,100.0,100.0,45.96
CMG,100.0,6,100.0,100.0,100.0,100.0,100.0,100.0
CMI,50.43,3,83.46,62.5,27.57,54.04,37.5,37.5
CMS,54.6,3,100.0,0.0,44.12,83.46,100.0,0.0
CNA,75.43,5,90.07,37.5,62.5,100.0,62.5,100.0
CNC,67.46,3,44.12,72.43,44.12,100.0,44.12,100.0
CNH,53.26,3,72.43,73.53,16.54,26.47,30.6,100.0
CNI,72.98,5,73.53,45.96,62.5,83.46,72.43,100.0
CNM,69.73,4,69.39,48.98,48.98,100.0,100.0,51.02
CNP,43.54,3,83.46,0.0,37.5,55.88,84.39,0.0
CNQ,78.12,5,100.0,83.46,45.96,83.46,55.88,100.0
COF,48.16,3,90.07,72.43,0.0,100.0,0.0,26.47
COHR,51.41,2,100.0,44.12,45.96,72.43,45.96,0.0
COIN,49.33,2,90.07,44.12,44.12,73.53,44.12,0.0
COO,62.44,3,100.0,73.53,27.57,100.0,27.57,45.96
COP,40.98,2,100.0,18.37,18.37,18.37,18.37,72.43
COR,52.54,3,81.63,30.61,0.0,100.0,48.98,54.04
COST,72.49,5,72.43,62.5,100.0,100.0,100.0,0.0
CP,63.78,3,100.0,69.39,18.37,100.0,48.98,45.96
CPAY,63.17,4,62.5,16.54,0.0,100.0,100.0,100.0
CPB,51.01,2,100.0,18.37,30.61,100.0,30.61,26.47
CPNG,52.33,4,72.43,16.54,62.5,100.0,62.5,0.0
CPRT,81.68,5,100.0,100.0,90.07,100.0,100.0,0.0
CPT,41.67,1,18.37,48.98,18.37,100.0,18.37,45.96
CQP,35.11,2,45.96,9.93,16.54,55.88,72.43,9.93
CR,67.64,5,69.39,81.63,81.63,81.63,81.63,9.93
CRBG,46.13,2,90.07,26.47,27.57,14.99,27.57,90.07
CRCL,52.36,3,81.63,90.07,16.54,100.0,16.54,9.37
CRDO,63.95,5,100.0,81.63,51.02,100.0,51.02,0.0
CRH,92.1,6,100.0,62.5,90.07,100.0,100.0,100.0
CRL,40.24,2,26.47,90.07,9.93,26.47,14.99,73.53
CRM,96.69,6,100.0,100.0,90.07,100.0,90.07,100.0
CRS,73.96,5,90.07,73.53,90.07,100.0,90.07,0.0
CRWD,55.51,3,100.0,100.0,16.54,100.0,16.54,0.0
CRWV,27.08,2,62.5,0.0,0.0,100.0,0.0,0.0
CSCO,60.23,4,90.07,62.5,9.93,72.43,26.47,100.0
CSGP,47.06,2,100.0,45.96,9.93,100.0,26.47,0.0
CSL,62.59,4,18.37,48.98,69.39,69.39,69.39,100.0
CSX,36.64,2,90.07,9.93,0.0,9.93,9.93,100.0
CTAS,91.12,6,100.0,81.63,81.63,100.0,100.0,83.46
CTRA,62.93,6,100.0,55.88,55.88,55.88,55.88,54.04
CTSH,69.06,4,100.0,55.88,37.5,83.46,37.5,100.0
CTVA,68.38,4,72.43,90.07,45.96,55.88,45.96,100.0
CUK,55.78,5,51.02,81.63,51.02,100.0,51.02,0.0
CVE,57.21,4,100.0,37.5,55.88,37.5,58.36,54.04
CVNA,62.01,5,73.53,90.07,62.5,83.46,62.5,0.0
CVS,46.98,2,44.12,45.96,16.54,100.0,21.24,54.04
CVX,29.42,1,48.98,18.37,18.37,18.37,18.37,54.04
CW,98.35,6,100.0,90.07,100.0,100.0,100.0,100.0
CX,57.36,4,100.0,30.61,51.02,48.98,51.02,62.5
CYBR,43.88,3,81.63,81.63,0.0,100.0,0.0,0.0
CZR,43.01,3,16.54,62.5,16.54,72.43,16.54,73.53
D,49.75,4,73.53,0.0,62.5,100.0,62.5,0.0
DAL,72.49,5,100.0,90.07,72.43,100.0,72.43,0.0
DASH,70.1,5,83.46,90.07,73.53,100.0,73.53,0.0
DAY,56.64,3,81.63,100.0,30.61,100.0,27.57,0.0
DB,61.22,3,100.0,30.61,18.37,100.0,18.37,100.0
DD,40.01,1,9.93,37.5,27.57,37.5,27.57,100.0
DDOG,77.21,5,100.0,100.0,81.63,100.0,81.63,0.0
DE,71.43,3,100.0,81.63,48.98,48.98,48.98,100.0
DECK,96.94,6,100.0,100.0,81.63,100.0,100.0,100.0
DELL,60.85,4,0.0,30.61,81.63,69.39,83.46,100.0
DEO,49.51,3,100.0,73.53,16.54,26.47,26.47,54.04
DG,50.0,3,81.63,81.63,0.0,100.0,18.37,18.37
DGX,73.59,5,90.07,73.53,45.96,73.53,75.02,83.46
DHI,72.79,4,100.0,48.98,18.37,100.0,69.39,100.0
DHR,32.66,1,48.98,18.37,18.37,18.37,18.37,73.53
DIS,85.48,6,72.43,90.07,83.46,100.0,83.46,83.46
DJT,33.64,2,73.53,45.96,0.0,72.43,9.93,0.0
DKNG,37.42,3,73.53,51.02,0.0,54.04,45.96,0.0
DKS,74.15,5,100.0,30.61,51.02,100.0,81.63,81.63
DLR,63.66,5,83.46,73.53,62.5,100.0,62.5,0.0
DLTR,68.63,6,55.88,54.04,55.88,90.07,55.88,100.0
DOC,50.55,2,37.5,100.0,9.93,100.0,9.93,45.96
DOCS,77.21,5,69.39,100.0,81.63,100.0,81.63,30.61
DOCU,82.65,6,100.0,81.63,81.63,100.0,81.63,51.02
DOV,54.34,4,100.0,30.61,51.02,51.02,55.88,37.5
DOW,19.24,0,9.93,9.93,27.57,9.93,31.64,26.47
DPZ,67.95,4,0.0,90.07,44.12,83.46,90.07,100.0
DRI,83.33,5,100.0,100.0,0.0,100.0,100.0,100.0
DRS,72.86,5,90.07,90.07,83.46,90.07,83.46,0.0
DT,83.33,5,100.0,100.0,100.0,100.0,100.0,0.0
DTE,51.65,4,100.0,0.0,54.04,55.88,100.0,0.0
DTM,62.07,4,100.0,73.53,26.47,100.0,72.43,0.0
DUK,63.95,5,69.39,51.02,81.63,100.0,81.63,0.0
DUOL,80.02,5,100.0,100.0,90.07,100.0,90.07,0.0
DVA,70.75,4,48.98,30.61,81.63,81.63,81.63,100.0
DVN,56.11,4,100.0,55.88,9.93,83.46,14.99,72.43
DXCM,88.05,6,83.46,100.0,72.43,100.0,100.0,72.43
E,45.58,2,100.0,18.37,18.37,18.37,18.37,100.0
EA,48.3,1,30.61,30.61,30.61,48.98,48.98,100.0
EBAY,50.37,3,16.54,16.54,16.54,90.07,62.5,100.0
EBR,73.13,5,81.63,81.63,81.63,81.63,81.63,30.61
EC,32.31,2,69.39,69.39,18.37,18.37,18.37,0.0
ECL,80.7,5,100.0,81.63,81.63,100.0,83.46,37.5
ED,65.13,4,100.0,45.96,72.43,83.46,72.43,16.54
EFX,72.86,5,54.04,90.07,73.53,100.0,73.53,45.96
EG,73.77,5,90.07,44.12,62.5,100.0,62.5,83.46
EHC,71.09,5,81.63,81.63,81.63,100.0,81.63,0.0
EIX,54.44,4,62.5,0.0,90.07,83.46,90.63,0.0
EL,6.76,0,0.0,30.61,0.0,0.0,0.0,9.93
ELS,61.95,3,37.5,44.12,90.07,100.0,100.0,0.0
ELV,55.1,3,100.0,0.0,0.0,100.0,30.61,100.0
EMA,50.12,4,100.0,0.0,72.43,55.88,72.43,0.0
EME,89.03,6,90.07,54.04,90.07,100.0,100.0,100.0
EMN,66.49,5,81.63,81.63,30.61,69.39,81.63,54.04
EMR,71.08,5,54.04,27.57,72.43,100.0,72.43,100.0
ENB,47.06,3,37.5,26.47,62.5,83.46,62.5,9.93
ENPH,37.97,0,48.98,18.37,48.98,18.37,48.98,44.12
ENTG,55.44,4,100.0,81.63,51.02,48.98,51.02,0.0
EOG,50.25,2,100.0,37.5,26.47,37.5,9.93,90.07
EPAM,65.2,4,100.0,62.5,44.12,83.46,27.57,73.53
EPD,59.01,4,100.0,0.0,62.5,37.5,54.04,100.0
EQH,53.4,4,30.61,51.02,0.0,69.39,69.39,100.0
EQIX,59.13,4,100.0,9.93,72.43,100.0,72.43,0.0
EQNR,31.97,1,18.37,18.37,18.37,18.37,18.37,100.0
EQR,65.38,4,27.57,83.46,90.63,100.0,90.63,0.0
EQT,62.41,5,100.0,55.88,72.43,83.46,52.74,9.93
ERIC,40.92,3,55.88,27.57,73.53,14.99,73.53,0.0
ERIE,63.6,4,100.0,83.46,44.12,100.0,54.04,0.0
ES,34.69,3,69.39,0.0,51.02,18.37,69.39,0.0
ESLT,61.9,5,100.0,51.02,51.02,100.0,69.39,0.0
ESS,51.53,2,27.57,100.0,27.57,100.0,27.57,26.47
ET,45.04,2,83.46,44.12,27.57,83.46,31.64,0.0
ETN,84.99,6,72.43,100.0,54.04,100.0,100.0,83.46
ETR,46.81,4,100.0,0.0,62.5,55.88,62.5,0.0
EVR,53.44,5,100.0,51.02,51.02,51.02,51.02,16.54
EVRG,42.52,2,100.0,0.0,44.12,83.46,27.57,0.0
EW,67.01,5,100.0,0.0,69.39,81.63,51.02,100.0
EWBC,73.63,5,100.0,18.37,69.39,100.0,100.0,54.04
EXC,57.66,4,90.07,0.0,55.88,100.0,100.0,0.0
EXE,48.69,5,72.43,51.02,51.02,51.02,51.02,15.61
EXEL,87.87,6,83.46,73.53,90.07,100.0,90.07,90.07
EXPD,62.56,4,45.96,55.88,16.54,83.46,73.53,100.0
EXPE,79.08,6,69.39,51.02,100.0,100.0,100.0,54.04
EXR,60.97,4,26.47,54.04,45.96,100.0,83.46,55.88
F,59.99,3,27.57,90.07,44.12,100.0,44.12,54.04
FANG,50.55,3,100.0,9.93,9.93,83.46,37.5,62.5
FAST,59.48,2,100.0,48.98,48.98,100.0,48.98,9.93
FCX,49.74,4,100.0,51.02,0.0,81.63,55.88,9.93
FDS,81.5,5,100.0,81.63,81.63,100.0,81.63,44.12
FDX,63.27,3,100.0,30.61,48.98,51.02,48.98,100.0
FE,46.51,3,100.0,0.0,16.54,100.0,62.5,0.0
FER,63.76,3,37.5,72.43,44.12,100.0,44.12,84.39
FERG,71.39,6,81.63,62.5,55.88,72.43,55.88,100.0
FFIV,83.16,6,100.0,81.63,81.63,100.0,81.63,54.04
FHN,37.08,2,81.63,18.37,0.0,48.98,0.0,73.53
FI,82.99,4,48.98,100.0,48.98,100.0,100.0,100.0
FICO,77.27,5,0.0,83.46,90.07,100.0,90.07,100.0
FIS,60.85,3,0.0,90.07,37.5,100.0,37.5,100.0
FITB,40.69,2,81.63,18.37,51.02,48.98,0.0,44.12
FIX,100.0,6,100.0,100.0,100.0,100.0,100.0,100.0
FLEX,77.21,5,100.0,81.63,81.63,18.37,81.63,100.0
FLUT,39.77,1,0.0,37.5,27.57,100.0,27.57,45.96
FMS,60.91,4,37.5,62.5,73.53,72.43,73.53,45.96
FMX,55.1,3,100.0,51.02,30.61,100.0,48.98,0.0
FN,83.03,5,100.0,44.12,54.04,100.0,100.0,100.0
FNF,58.22,4,90.07,54.04,27.57,90.07,31.64,55.88
FNV,49.39,4,83.46,9.93,73.53,55.88,73.53,0.0
FOX,84.93,6,100.0,73.53,73.53,72.43,90.07,100.0
FOXA,84.93,6,100.0,73.53,73.53,72.43,90.07,100.0
FRHC,46.94,3,100.0,51.02,0.0,100.0,30.61,0.0
FRT,75.06,5,83.46,100.0,83.46,100.0,83.46,0.0
FSLR,60.05,3,90.07,45.96,44.12,90.07,90.07,0.0
FTAI,47.92,4,62.5,0.0,62.5,100.0,62.5,0.0
FTI,90.62,6,73.53,90.07,90.07,100.0,90.07,100.0
FTNT,87.24,6,51.02,100.0,100.0,100.0,100.0,72.43
FTS,52.76,4,54.04,0.0,90.07,72.43,100.0,0.0
FTV,83.84,5,100.0,100.0,48.98,100.0,54.04,100.0
GD,74.14,5,100.0,48.98,69.39,100.0,72.43,54.04
GDDY,66.18,3,44.12,100.0,26.47,100.0,26.47,100.0
GE,49.66,2,0.0,18.37,48.98,81.63,48.98,100.0
GEHC,56.74,4,73.53,9.93,27.57,100.0,73.53,55.88
GEN,70.57,5,69.39,30.61,69.39,100.0,72.43,81.63
GEV,75.8,5,81.63,90.07,73.53,90.07,73.53,45.96
GFI,74.51,5,100.0,83.46,73.53,100.0,90.07,0.0
GFL,55.82,4,72.43,37.5,62.5,54.04,62.5,45.96
GFS,51.44,4,72.43,44.12,55.88,55.88,52.74,27.57
GGG,75.55,6,100.0,90.07,62.5,72.43,72.43,55.88
GIB,83.03,6,100.0,90.07,54.04,100.0,54.04,100.0
GILD,61.83,5,72.43,27.57,62.5,73.53,62.5,72.43
GIS,27.89,1,18.37,30.61,0.0,18.37,0.0,100.0
GL,81.22,5,90.07,16.54,90.07,100.0,90.63,100.0
GLPI,72.92,5,100.0,54.04,83.46,100.0,100.0,0.0
GLW,50.8,2,45.96,73.53,45.96,83.46,45.96,9.93
GLXY,22.45,1,81.63,0.0,,0.0,30.61,0.0
GM,53.54,3,100.0,45.96,0.0,54.04,21.24,100.0
GMAB,79.17,4,100.0,100.0,37.5,100.0,37.5,100.0
GME,51.03,4,81.63,69.39,81.63,0.0,73.53,0.0
GNRC,56.13,2,100.0,44.12,27.57,37.5,27.57,100.0
GOOG,95.04,6,100.0,90.07,90.07,100.0,90.07,100.0
GPC,56.57,3,72.43,9.93,26.47,100.0,30.6,100.0
GPN,59.99,3,90.07,27.57,44.12,54.04,44.12,100.0
GRAB,25.17,2,0.0,51.02,0.0,100.0,0.0,0.0
GRMN,73.77,5,100.0,90.07,62.5,90.07,90.07,9.93
GS,52.59,4,100.0,18.37,51.02,51.02,51.02,44.12
GSK,57.02,3,81.63,0.0,48.98,100.0,48.98,62.5
GWRE,62.01,3,73.53,90.07,45.96,100.0,45.96,16.54
GWW,72.43,5,100.0,26.47,54.04,100.0,54.04,100.0
H,59.56,3,83.46,26.47,37.5,72.43,37.5,100.0
HAL,52.27,3,100.0,54.04,16.54,26.47,26.47,90.07
HAS,38.11,1,27.57,90.07,27.57,45.96,27.57,9.93
HBAN,59.62,5,90.07,55.88,55.88,100.0,55.88,0.0
HCA,69.05,5,30.61,81.63,51.02,100.0,51.02,100.0
HD,35.7,2,69.39,30.61,0.0,69.39,18.37,26.47
HDB,66.67,4,100.0,81.63,18.37,100.0,100.0,0.0
HEI,71.57,4,100.0,83.46,45.96,100.0,100.0,0.0
HES,65.99,5,100.0,69.39,69.39,69.39,69.39,18.37
HIG,85.82,5,90.07,44.12,90.07,100.0,90.63,100.0
HII,76.9,6,100.0,72.43,62.5,100.0,72.43,54.04
HIMS,55.19,3,90.07,44.12,27.57,100.0,69.4,0.0
HLI,71.09,5,100.0,81.63,81.63,81.63,81.63,0.0
HLN,68.26,5,62.5,100.0,73.53,26.47,73.53,73.53
HLT,62.5,3,0.0,100.0,37.5,100.0,37.5,100.0
HMC,63.27,3,100.0,18.37,30.61,100.0,30.61,100.0
HOLX,58.84,5,100.0,51.02,51.02,0.0,51.02,100.0
HON,52.63,3,27.57,73.53,16.54,54.04,44.12,100.0
HOOD,56.6,4,73.53,62.5,27.57,90.07,69.4,16.54
HPE,49.91,2,54.04,44.12,44.12,100.0,47.26,9.93
HPQ,24.96,1,0.0,51.02,30.61,0.0,30.61,37.5
HRL,54.42,4,100.0,69.39,69.39,18.37,69.39,0.0
HSBC,59.8,3,90.07,44.12,26.47,44.12,54.04,100.0
HSIC,55.41,3,72.43,27.57,0.0,83.46,48.99,100.0
HST,75.8,5,72.43,37.5,72.43,100.0,72.43,100.0
HSY,57.29,4,54.04,37.5,44.12,100.0,54.04,54.04
HUBB,84.14,5,100.0,100.0,48.98,100.0,100.0,55.88
HUBS,74.51,5,100.0,100.0,73.53,100.0,73.53,0.0
